,PLAYER NAME,PLAYER POSITION,TEAM NAME,2019 COMPLETED 1-39,2019 ATTEMPTED 1-39,2019 COMPLETED 40-49,2019 ATTEMPTED 40-49,2019 COMPLETED 50+,2019 ATTEMPTED 50+,2019 COMPLETED TOT,2019 ATTEMPTED TOT,2019 COMPLETED XP,2019 ATTEMPTED XP,2019 FPTS,2020 COMPLETED 1-39,2020 ATTEMPTED 1-39,2020 COMPLETED 40-49,2020 ATTEMPTED 40-49,2020 COMPLETED 50+,2020 ATTEMPTED 50+,2020 COMPLETED TOT,2020 ATTEMPTED TOT,2020 COMPLETED XP,2020 ATTEMPTED XP,2020 FPTS,2020 OUTLOOK
11,Greg Zuerlein,K,Cowboys,14.0,15.0,5.0,11.0,5.0,7.0,24.0,33.0,42.0,42.0,120.0,15.0,17.0,7.0,10.0,3.0,5.0,26.0,32.0,40.0,44.0,123.99,"Zuerlein signed with the Cowboys during the offseason following eight seasons with the Rams. Fantasy's top-scoring kicker back in 2017, 'Greg the Leg' has finished just outside the top 10 in each of the past two seasons. Zuerlein's accuracy has been all over the place throughout his career. He nailed 95.0% of his field goals in 2017, but fell to 87.1% in 2018 and a horrific 72.7% last season. On the plus side, Zuerlein was one of only a handful of kickers who didn't miss an extra point last season, and Dallas has finished among the top five in field goal attempts in each of the past two seasons. The 32-year-old is worth a flier in the last round."
12,Sam Sloman,K,Rams,,,,,,,,,,,,16.0,17.0,8.0,10.0,3.0,5.0,27.0,33.0,35.0,38.0,123.92,No outlook available.
13,Mason Crosby,K,Packers,14.0,14.0,7.0,8.0,1.0,2.0,22.0,24.0,40.0,41.0,113.0,15.0,16.0,7.0,9.0,3.0,4.0,25.0,29.0,40.0,42.0,123.46,No outlook available.
14,Jake Elliott,K,Eagles,15.0,15.0,5.0,7.0,2.0,4.0,22.0,26.0,35.0,37.0,104.0,15.0,16.0,7.0,10.0,3.0,5.0,26.0,30.0,38.0,40.0,123.3,No outlook available.
15,Josh Lambo,K,Jaguars,21.0,21.0,8.0,9.0,4.0,4.0,33.0,34.0,19.0,20.0,133.0,16.0,17.0,8.0,10.0,3.0,5.0,28.0,31.0,27.0,28.0,122.04,No outlook available.
16,Zane Gonzalez,K,Cardinals,24.0,25.0,5.0,8.0,2.0,2.0,31.0,35.0,34.0,35.0,132.0,15.0,16.0,7.0,10.0,3.0,5.0,25.0,31.0,39.0,42.0,121.21,"After failing to make an impact during his first two NFL seasons, Gonzalez surged to the sixth-most fantasy points at the position in 2019. In what was his first full season with Arizona, Gonzalez produced 11 top-10 fantasy weeks, which tied for most. His 35 field goal attempts were third most in the league and, though his 88.6% field goal percentage was eighth best, it was certainly inflated by an average distance of 33.5 yards, which was the shortest in the league. Arizona's offense is a candidate for a leap in quarterback Kyler Murray's second season, which makes Gonzalez a fine last-round flier."
17,Jason Myers,K,Seahawks,17.0,17.0,4.0,7.0,2.0,4.0,23.0,28.0,40.0,44.0,112.0,14.0,15.0,7.0,9.0,3.0,4.0,24.0,29.0,41.0,44.0,120.44,No outlook available.
18,Brandon McManus,K,Broncos,15.0,15.0,10.0,12.0,4.0,7.0,29.0,34.0,25.0,26.0,125.0,16.0,16.0,8.0,10.0,3.0,5.0,26.0,31.0,32.0,34.0,120.4,No outlook available.
19,Justin Rohrwasser,K,Patriots,,,,,,,,,,,,15.0,17.0,7.0,10.0,3.0,5.0,26.0,31.0,35.0,38.0,119.92,No outlook available.
20,Dan Bailey,K,Vikings,19.0,19.0,5.0,7.0,3.0,3.0,27.0,29.0,40.0,44.0,130.0,15.0,16.0,7.0,9.0,3.0,5.0,25.0,30.0,36.0,38.0,119.73,No outlook available.
21,Ka'imi Fairbairn,K,Texans,13.0,13.0,4.0,6.0,3.0,6.0,20.0,25.0,40.0,45.0,105.0,15.0,16.0,7.0,9.0,3.0,5.0,25.0,30.0,38.0,40.0,119.49,"John Christian Ka'iminoeauloameka'ikeokekumupa'a ""Ka'imi"" Fairbairn is the latest in a long list of examples of why you should never reach for a kicker in fantasy. The 26-year-old was the top-scoring kicker in 2018, but he crashed back to earth with a 19th-place finish in 2019. Fairbairn's fall was pretty dramatic, as his accuracy plummeted from 88.1% in 2018 to 80.0% in 2019 on field goals and 95.1% in 2018 to 88.9% in 2019 on extra points. Houston also fell from second to 29th in field goal attempts. Houston clearly isn't worried after signing Fairbairn to a four-year extension during the offseason. Fairbairn is a fine pick in the final round of your draft."
22,Joey Slye,K,Panthers,9.0,10.0,8.0,11.0,8.0,11.0,25.0,32.0,31.0,35.0,123.0,15.0,16.0,7.0,10.0,3.0,5.0,26.0,31.0,31.0,33.0,116.91,No outlook available.
23,Stephen Hauschka,K,Bills,12.0,13.0,9.0,10.0,1.0,5.0,22.0,28.0,30.0,32.0,101.0,15.0,16.0,7.0,10.0,3.0,5.0,26.0,31.0,31.0,33.0,116.25,No outlook available.
24,Aldrick Rosas,K,Giants,11.0,12.0,1.0,4.0,0.0,1.0,12.0,17.0,35.0,39.0,67.0,15.0,16.0,7.0,10.0,3.0,5.0,25.0,31.0,36.0,40.0,115.72,No outlook available.
25,Michael Badgley,K,Chargers,7.0,7.0,6.0,8.0,0.0,1.0,13.0,16.0,19.0,19.0,61.0,15.0,16.0,7.0,10.0,3.0,5.0,26.0,31.0,31.0,33.0,115.34,No outlook available.
26,Randy Bullock,K,Bengals,16.0,16.0,10.0,12.0,1.0,3.0,27.0,31.0,24.0,25.0,113.0,15.0,16.0,7.0,9.0,3.0,5.0,25.0,29.0,30.0,31.0,113.6,No outlook available.
27,Greg Joseph,K,Titans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,13.0,14.0,6.0,9.0,3.0,4.0,23.0,27.0,38.0,41.0,112.92,No outlook available.
28,Daniel Carlson,K,Raiders,13.0,14.0,6.0,10.0,0.0,2.0,19.0,26.0,34.0,36.0,90.0,15.0,17.0,7.0,10.0,3.0,5.0,25.0,31.0,33.0,37.0,112.34,No outlook available.
29,Dustin Hopkins,K,FA,15.0,17.0,8.0,10.0,2.0,3.0,25.0,30.0,21.0,22.0,103.0,15.0,15.0,7.0,9.0,3.0,4.0,24.0,29.0,29.0,31.0,110.62,No outlook available.
30,Jason Sanders,K,Dolphins,15.0,16.0,5.0,9.0,3.0,5.0,23.0,30.0,29.0,30.0,109.1,15.0,16.0,7.0,10.0,3.0,5.0,25.0,30.0,28.0,31.0,109.13,No outlook available.
31,Eddy Pineiro,K,Bears,18.0,19.0,3.0,7.0,2.0,2.0,23.0,28.0,27.0,29.0,98.0,14.0,16.0,7.0,9.0,3.0,4.0,24.0,29.0,29.0,32.0,107.09,No outlook available.
32,Brett Maher,K,Jets,15.0,17.0,1.0,5.0,4.0,8.0,20.0,30.0,36.0,36.0,97.0,14.0,16.0,7.0,10.0,3.0,5.0,23.0,30.0,26.0,30.0,101.35,No outlook available.
33,Matthew McCrane,K,Steelers,,,,,,,,,,,,,,,,,,,,,,0.0,No outlook available.
34,Sam Ficken,K,Jets,9.0,10.0,7.0,11.0,3.0,6.0,19.0,27.0,23.0,26.0,85.0,,,,,,,,,,,0.0,No outlook available.
35,Cairo Santos,K,Titans,1.0,3.0,2.0,3.0,1.0,3.0,4.0,9.0,12.0,12.0,23.0,,,,,,,,,,,0.0,No outlook available.
36,Cody Parkey,K,Titans,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,5.0,6.0,18.0,,,,,,,,,,,0.0,No outlook available.
37,Chandler Catanzaro,K,FA,,,,,,,,,,,,,,,,,,,,,,0.0,No outlook available.
38,Giorgio Tavecchio,K,FA,,,,,,,,,,,,,,,,,,,,,,0.0,No outlook available.
39,Caleb Sturgis,K,FA,,,,,,,,,,,,,,,,,,,,,,0.0,No outlook available.
40,Kai Forbath,K,Cowboys,3.0,3.0,7.0,7.0,1.0,1.0,11.0,11.0,11.0,12.0,53.0,,,,,,,,,,,0.0,No outlook available.
41,Adam Vinatieri,K,FA,12.0,13.0,3.0,7.0,2.0,5.0,17.0,25.0,22.0,28.0,72.0,,,,,,,,,,,0.0,No outlook available.
42,Phil Dawson,K,FA,,,,,,,,,,,,,,,,,,,,,,0.0,No outlook available.
43,Sebastian Janikowski,K,FA,,,,,,,,,,,,,,,,,,,,,,0.0,No outlook available.
44,Nick Folk,K,FA,9.0,9.0,4.0,7.0,1.0,1.0,14.0,17.0,12.0,12.0,57.0,,,,,,,,,,,0.0,No outlook available.
45,Matt Bryant,K,FA,4.0,5.0,3.0,3.0,2.0,6.0,9.0,14.0,14.0,15.0,43.0,,,,,,,,,,,0.0,No outlook available.
46,Mike Nugent,K,FA,5.0,7.0,0.0,1.0,0.0,0.0,5.0,8.0,15.0,16.0,27.0,,,,,,,,,,,0.0,No outlook available.
47,Graham Gano,K,Panthers,,,,,,,,,,,,,,,,,,,,,,0.0,No outlook available.
48,Ryan Succop,K,Titans,1.0,1.0,0.0,4.0,0.0,1.0,1.0,6.0,24.0,25.0,22.0,,,,,,,,,,,0.0,No outlook available.
49,Stephen Gostkowski,K,FA,6.0,6.0,1.0,2.0,0.0,0.0,7.0,8.0,11.0,15.0,32.0,,,,,,,,,,,0.0,No outlook available.
50,Tyler Bass,K,Bills,,,,,,,,,,,,,,,,,,,,,,0.0,No outlook available.
